text,intent
how are you?,greeting
hello,greeting
whats up,greeting
thanks,greeting
thank you so much,greeting
good morning,greeting
good afternoon,greeting
bye,leaving
alexa,greeting
see you later,leaving
talk to you later,leaving
how are you,greeting
see you later aligator,leaving
goodbye,leaving
poop,insult
quit stop exit,leaving
very smart,compliment
poo,insult
bum face,insult
you are awesome,compliment
you are great,compliment
poo head,insult
fart breath,insult
thankyou,compliment
butt wipe,insult
screw you,insult
you suck,insult
you stink,insult
you are so bad,insult
i have to go,leaving
8 x 3,maths
8 x 2,maths
9 / 4,maths
whats 9 squared,maths
84 - 4,maths
1 + 2,maths
9 x 3,maths
1 x 10,maths
53 x 105,maths
93 / 4,maths
49 / 14,maths
142 / 1,maths
23 / 4,maths
3 + 5,maths
25 + 52,maths
45 + 43,maths
453 - 63,maths
346 - 234,maths
23 - 20,maths
4 - 1,maths
what is 93 x 5,maths
what is 122 x 5,maths
what is 34 / 12,maths
what is 23 + 544,maths
what is 535 - 325,maths
what is 9 squared,maths
whats the square of 3,maths
square root of 912,maths
whats the square root of 914,maths
what is 324 square rooted,maths
√73,maths
when did world war 2 end,searches
when did the battle of hastings take place,searches
who was the leader of the nazis,searches
who wrote romeo and juliet,searches
who is the president of the united states of america,searches
what is python,searches
where is ukraine,searches
where is the united kingdom,searches
what is a potato,searches
is a tomato a fruit or a vegetable,searches
what is a potato,searches
where is japan,searches
where is berlin,searches
where japan,searches
how many wives did henry viii have,searches
what is 8 x 4,maths
6 x 24,maths
searches potatoes are amazing to french,searches
what language is bonjour,searches
what's hello in French,searches
whats spanish for how are you,searches
What's hello in French,searches
what's 6 x 2,maths
what's 8962 x 54,maths
what's 7662 / 4,maths
what's 7662 / 437,maths
where is Japan,searches
how do i spell because,words
how to spell friends,words
whats another word for hello,words
whats the opposite of never,words
whats the definition of confidence,words
what does incredible mean,words
play hello by adele,music
play dance music,music
play my g,music
play levels,music
play despacito,music
play Avicii Levels,music
play Levels,music
play avicci,music
what is 6 x 8,maths
what is 532564 / 25,maths
what is 47922 / 45,maths
Whats another word for massive,words
whats another word for massive,words
what does massive mean,words
What does massive mean,words
what does huge mean,words
how to spell potatoes,words
what does potatoes mean,words
how to spell huge,words
How are you,greeting
what is 92 x 34,maths
where is london,searches
what does big mean,words
play ed sheeran,music
play uk top 40,music
thanks for the help, compliment
who is sehaj,searches
play ram ranch,music
whats 23 x 3435,maths
Play avicci levels,music
Play girls run the world,music
play who runs the world girls,music
play who runs the world girls beyonce,music
what does large mean,words
how is badger,searches
what is 7 + 4,maths
what is 23534 x 235223,maths
play jungle by mome boys,music
play we will rock you,music
you are very clever,compliment
How old is prince charles,searches
what is your name,questions
who made this,questions
what can you do,questions
can you tell me a joke,jokes
tell me a joke,jokes
tell me a funny joke,jokes
tell me another joke,jokes
can i get another joke,jokes
play whats your favourite vegetable,music
play dancing queen,music
play prince charles a modern monarch,music
play Dancing Queen,music
What does big mean,words
how are you how are you,greeting
turn on the light,light
turn on my light,light
make the light blue,light
turn off the light,light
make the light pink,light
make the light orange,light
turn off the light,light
make my light green,light
turn my light on,light
turn on my lights,light
turn off my light,light
turn my lights off,light
turn my light off,light
make my light white,light
make my light red,light
make my light blue,light
make my lights aqua,light
make my light aqua,light
make my light pink,light
make my lights white,light
play Danny Dyer song,music
set my light to 20% brightness,light
set my light to half brightness,light
set my light to Max brightness,light
set my light to 90% brightness,light
set the light to rainbow mode,light
make the light rainbow,light
turn the light off,light
turn the light on,light
make the light do the rainbow thing,light
make the Light White,light
turn the light to Max brightness,light
make the light aqua,light
turn the lights off,light
play Let It Go by frozen,music
make the light purple,light
make the light yellow,light
How old are you?,greeting
Tell me  joke,jokes
Who is Joe?,searches
Who is Josh?,searches
34 times 2,maths
34 x 2,maths
34.5 x 2,maths
34.5 times 2,maths
34 and a half times 2,maths
69 divided 2,maths
differential of e to the x,words
square 3,maths
3^2,maths
3 squared,maths
joke,jokes
play mome boys,music
play i hate birds,music
who is hitler,searches
Whats 83 + 17,maths
How do i spell potato,words
What does Big mean,words
searches hello to french,searches
Tell me a Joke,jokes
Play Ed Sheeran,music
Tell me a joke,jokes
Hello,greeting
What can you do,questions
How do i spell massive,words
You are awesome,compliment
You suck,insult
Tell me a funny joke,jokes
Tell me a very funny joke,jokes
create me a personal profile,profile
remember my name,profile
create profile,profile
who was in paris,searches
can you remember my name,profile
can i create a profile,profile
What is 2 + 2,maths
How do you spell potatoes,words
What is your favourite food,maths
play not over yet,music
I would like to create a profile,profile
where is China,searches
play the Curry Song,music
what's your opinion on Hitler,questions
where was Jo Bostock born,searches
boy badger yes,searches
see you later alligator,leaving
create me a profile,profile
play frozen,music
play Let It Go,music
play what's your favourite vegetable,music
whats 98 x 87,maths
start a 30 second timer,timer
start a 10 minute timer, timer
start a timer,timer
create a timer,timer
create a 3 hour 30 second timer,timer
create a 10 second timer,timer
Create a timer,timer
create a 20 second timer,timer
how do i spell potato,words
how do you spell potato,words
create a 30 second timer,timer
set a 20 second timer,timer
set a 30 second timer,timer
what was the england score,searches
who won the enggland game,searches
what is the england score,searches
What was the england score,searches
What is the serbia score,searches
whats the serbia football score,searches
whats the serbia score,searches
whats the distance from england to china,searches
whats the population of india,searches
whats the distance from bishops cleeve to tokyo,searches
how can i be homophobic,searches
how can i be homophobic song,searches
what are the lyrics to this song,searches
what are the lyrics to happy birthday,searches
what are the lyrics to doja cat central cee,searches
what is pi to 100 digits,searches
what are the first 100 digits of pi,searches
what are the first 1000 digits of pi,searches
whens the next bus to cheltenham town,searches
whats the most expensive room in the burj al arab,searches
most expensive hotel room in the world,searches
what is elon musks networth,searches
whats global gdp,searches
whats the global gdp,searches
translate how are you into indian,greeting
what is hello in indian,searches
what is i am from india in japanese,searches
that's more than one word hey Google hey Google,words
what is my name,profile
what is the england vs wales score,searches
what was the portugal score,searches
what was the england vs usa score,searches
what is the football score,searches
what is the netherlands score,searches
what is the qatar football score,searches
Whats the qatar vs netherlands score,searches
whats the qatar score,searches
whats the qatar vs netherlands football score,searches
what is the world cup score,searches
what was the ecuador vs senegal score,searches
whats the population of china,searches
What is the Qatar football score,searches
create a profile,profile
how do i make a cake,searches
whats the meaning of life,searches
whats the definition of big,searches
translate hello into french,searches

